hallucination_model,classification_model,combo,enhancer_hall_acc,enhancer_no_hall_acc,promoter_hall_acc,promoter_no_hall_acc,splice_site_hall_acc,splice_site_no_hall_acc,methylated_hall_acc,methylated_no_hall_acc,protein_coding_hall_acc,protein_coding_no_hall_acc,overall_hall_acc,overall_no_hall_acc
meta/llama3-8b-instruct,meta/llama3-8b-instruct,meta/llama3-8b-instruct-meta/llama3-8b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5638297872340425,0.20212765957446807,0.512987012987013,0.4393939393939394
meta/llama3-8b-instruct,meta/llama-3.1-8b-instruct,meta/llama3-8b-instruct-meta/llama-3.1-8b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5585106382978723,0.39893617021276595,0.5119047619047619,0.47943722943722944
meta/llama3-8b-instruct,meta/llama-3.3-70b-instruct,meta/llama3-8b-instruct-meta/llama-3.3-70b-instruct,0.5,0.5,0.46,0.5,0.5,0.5071428571428571,0.5,0.5,0.5691489361702128,0.5053191489361702,0.5054112554112554,0.5021645021645021
meta/llama3-8b-instruct,tiiuae/falcon3-7b-instruct,meta/llama3-8b-instruct-tiiuae/falcon3-7b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.574468085106383,0.4574468085106383,0.5151515151515151,0.49134199134199136
meta/llama3-8b-instruct,qwen/qwen2.5-7b-instruct,meta/llama3-8b-instruct-qwen/qwen2.5-7b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5638297872340425,0.46808510638297873,0.512987012987013,0.4935064935064935
meta/llama-3.1-8b-instruct,meta/llama3-8b-instruct,meta/llama-3.1-8b-instruct-meta/llama3-8b-instruct,0.5,0.5,0.505,0.5,0.5,0.5,0.5,0.5,0.5691489361702128,0.20212765957446807,0.5151515151515151,0.4393939393939394
meta/llama-3.1-8b-instruct,meta/llama-3.1-8b-instruct,meta/llama-3.1-8b-instruct-meta/llama-3.1-8b-instruct,0.5,0.5,0.505,0.5,0.5,0.5,0.505,0.5,0.5851063829787234,0.39893617021276595,0.5195652173913043,0.47934782608695653
meta/llama-3.1-8b-instruct,meta/llama-3.3-70b-instruct,meta/llama-3.1-8b-instruct-meta/llama-3.3-70b-instruct,0.5,0.5,0.5,0.5,0.5,0.4928571428571429,0.5,0.5,0.6063829787234043,0.5053191489361702,0.5216450216450217,0.5
meta/llama-3.1-8b-instruct,tiiuae/falcon3-7b-instruct,meta/llama-3.1-8b-instruct-tiiuae/falcon3-7b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6223404255319149,0.4574468085106383,0.5249457700650759,0.4913232104121475
meta/llama-3.1-8b-instruct,qwen/qwen2.5-7b-instruct,meta/llama-3.1-8b-instruct-qwen/qwen2.5-7b-instruct,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6063829787234043,0.46808510638297873,0.5216450216450217,0.4935064935064935
